,date,teh,Point0_average,Point0_median,Point0_std,Point0_lat,Point0_lon,Point1_average,Point1_median,Point1_std,Point1_lat,Point1_lon,Point2_average,Point2_median,Point2_std,Point2_lat,Point2_lon,Point3_average,Point3_median,Point3_std,Point3_lat,Point3_lon,Point4_average,Point4_median,Point4_std,Point4_lat,Point4_lon,Point5_average,Point5_median,Point5_std,Point5_lat,Point5_lon,Point6_average,Point6_median,Point6_std,Point6_lat,Point6_lon,Point7_average,Point7_median,Point7_std,Point7_lat,Point7_lon,Point8_average,Point8_median,Point8_std,Point8_lat,Point8_lon,Point9_average,Point9_median,Point9_std,Point9_lat,Point9_lon,Point10_average,Point10_median,Point10_std,Point10_lat,Point10_lon,Point11_average,Point11_median,Point11_std,Point11_lat,Point11_lon,Point12_average,Point12_median,Point12_std,Point12_lat,Point12_lon,Point13_average,Point13_median,Point13_std,Point13_lat,Point13_lon,Point14_average,Point14_median,Point14_std,Point14_lat,Point14_lon,Point15_average,Point15_median,Point15_std,Point15_lat,Point15_lon,Point16_average,Point16_median,Point16_std,Point16_lat,Point16_lon,Point17_average,Point17_median,Point17_std,Point17_lat,Point17_lon,Point18_average,Point18_median,Point18_std,Point18_lat,Point18_lon,Point19_average,Point19_median,Point19_std,Point19_lat,Point19_lon,Point20_average,Point20_median,Point20_std,Point20_lat,Point20_lon,Point21_average,Point21_median,Point21_std,Point21_lat,Point21_lon,Point22_average,Point22_median,Point22_std,Point22_lat,Point22_lon,Point23_average,Point23_median,Point23_std,Point23_lat,Point23_lon,Point24_average,Point24_median,Point24_std,Point24_lat,Point24_lon,Point25_average,Point25_median,Point25_std,Point25_lat,Point25_lon,Point26_average,Point26_median,Point26_std,Point26_lat,Point26_lon
0,198701,bahawalnagar,287.30695,286.125,5.232867,29.929705600000023,72.997855,287.39163,286.4375,5.205492,29.679705600000023,73.247855,287.34937,286.1875,5.220877,29.929705600000023,73.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,chishtian,287.6262,286.625,5.176812,29.429705600000023,72.747855,287.44287,286.34375,5.203709,29.679705600000023,72.747855,287.4721,286.5,5.2012887,29.679705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,fort abbas,288.42743,287.6875,5.266651,28.929705600000023,72.497855,288.117,287.3125,5.2662973,29.179705600000023,72.497855,287.94733,286.875,5.1707015,29.179705600000023,72.747855,287.79544,286.59375,5.0991893,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,haroonabad,287.79544,286.59375,5.0991893,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,minchinabad,287.2526,286.125,5.0376406,30.179705600000023,73.497855,287.05493,286.09375,4.949812,30.179705600000023,73.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,ahmadpur east,288.43515,286.78125,5.332602,29.179705600000023,70.997855,287.88742,286.3125,5.308715,29.179705600000023,71.247855,287.8069,286.0,5.32118,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,bahawalpur,287.8069,286.0,5.32118,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,hasilpur,287.78082,286.6875,5.241076,29.429705600000023,72.497855,287.4731,286.125,5.238157,29.679705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,khairpur tamewali,287.74808,286.65625,5.3178744,29.429705600000023,71.997855,287.52664,286.15625,5.2570167,29.679705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198701,yazman,289.29706,288.34375,5.470206,28.179705600000023,70.997855,289.00806,288.03125,5.5514975,28.429705600000023,70.997855,288.64316,287.53125,5.6573224,28.679705600000023,70.997855,289.2006,288.375,5.49652,27.929705600000023,71.247855,289.17743,288.1875,5.4360847,28.179705600000023,71.247855,289.14105,288.21875,5.392776,28.429705600000023,71.247855,288.74847,287.6875,5.4061694,28.679705600000023,71.247855,288.17532,286.6875,5.3228593,28.929705600000023,71.247855,289.25763,288.5625,5.3809414,27.929705600000023,71.497855,289.02478,288.15625,5.439704,28.179705600000023,71.497855,288.99008,288.15625,5.39025,28.429705600000023,71.497855,288.7984,287.9375,5.3979354,28.679705600000023,71.497855,288.42365,287.125,5.3020334,28.929705600000023,71.497855,289.07654,288.375,5.424356,27.929705600000023,71.747855,288.8694,288.0625,5.434126,28.179705600000023,71.747855,288.8473,288.0625,5.3662944,28.429705600000023,71.747855,288.7212,287.96875,5.3736143,28.679705600000023,71.747855,288.43045,287.34375,5.361809,28.929705600000023,71.747855,288.03964,286.75,5.3264003,29.179705600000023,71.747855,288.78748,288.125,5.3586307,28.429705600000023,71.997855,288.6497,287.9375,5.3455524,28.679705600000023,71.997855,288.43884,287.75,5.4070525,28.929705600000023,71.997855,288.04654,286.96875,5.324127,29.179705600000023,71.997855,288.64963,287.9375,5.2987123,28.679705600000023,72.247855,288.42197,287.6875,5.314218,28.929705600000023,72.247855,288.1539,287.34375,5.3171206,29.179705600000023,72.247855,287.84006,286.75,5.2652993,29.429705600000023,72.247855
