,shapeName,geometry
0,Shah Bander,"POLYGON ((68.082169 23.773188, 67.783661 23.847482, 67.716667 23.883333, 67.676389 24.143056, 67.680074 24.153809, 67.803898 24.326601, 67.874213 24.420596, 67.936909 24.417072, 68.010003 24.402437, 68.054643 24.381127, 68.350335 23.980479, 68.147813 23.775857, 68.082169 23.773188))"
1,Kharochan,"POLYGON ((67.685837 23.827905, 67.5 23.916667, 67.495916 24.004786, 67.5 24.016667, 67.549135 24.147932, 67.627582 24.180794, 67.637746 24.183983, 67.650151 24.17276, 67.677074 24.143628, 67.718337 24.065693, 67.718895 24.046246, 67.718906 24.03579, 67.685837 23.827905))"
2,Jati,"POLYGON ((68.436274 23.968767, 68.205069 24.074928, 67.988152 24.402924, 67.981783 24.433604, 67.979859 24.452363, 67.975 24.5, 67.978942 24.51583, 68.017131 24.538247, 68.246578 24.612094, 68.363486 24.617403, 68.490101 24.35396, 68.493836 24.335948, 68.5 24.283333, 68.436274 23.968767))"
3,Keti Bander,"POLYGON ((67.434443 23.992471, 67.363817 24.112246, 67.340635 24.192954, 67.358815 24.225763, 67.529256 24.32004, 67.669727 24.28536, 67.673433 24.273798, 67.677843 24.255526, 67.683333 24.216667, 67.671052 24.190435, 67.666667 24.183333, 67.562427 24.058991, 67.486111 24.009167, 67.434443 23.992471))"
4,Ghorabari,"POLYGON ((67.533563 24.161168, 67.383919 24.248819, 67.32081 24.319801, 67.344735 24.338825, 67.745064 24.53585, 67.760646 24.541156, 67.890895 24.566181, 67.972774 24.570254, 67.943766 24.415363, 67.811337 24.242016, 67.723525 24.163936, 67.533563 24.161168))"
5,Mithi,"POLYGON ((70.0062 24.1913, 69.399512 24.836562, 69.565286 24.961723, 70.2324 24.9043, 70.470062 24.879034, 70.531965 24.852868, 70.548024 24.834915, 70.586684 24.703503, 70.485302 24.416827, 70.46297 24.392257, 70.0062 24.1913))"
6,Diplo,"POLYGON ((69.8161 24.223, 69.194878 24.237133, 69.115184 24.262096, 69.085678 24.297394, 69.072251 24.341353, 69.070292 24.367825, 69.077701 24.432239, 69.258333 24.75, 69.358333 24.813889, 69.414874 24.815632, 69.477851 24.809084, 69.632954 24.704378, 69.744169 24.606146, 69.772856 24.568811, 69.836285 24.474722, 69.90096 24.348751, 69.920497 24.298893, 69.919449 24.288938, 69.8161 24.223))"
7,Nagarparkar,"POLYGON ((70.643394 24.231801, 70.583385 24.25884, 70.45178 24.450869, 70.502513 24.868325, 70.890903 25.071278, 71.066667 24.716667, 71.1 24.416667, 70.86081 24.255066, 70.7861 24.235, 70.643394 24.231801))"
8,Badin,"POLYGON ((69.050446 24.256266, 68.86966 24.267583, 68.779445 24.311412, 68.770733 24.321326, 68.763924 24.359723, 68.75313 24.466758, 68.750883 24.541008, 68.745072 24.933549, 68.760179 24.961975, 69.218774 24.544961, 69.050446 24.256266))"
9,Mirpur Sakro,"POLYGON ((67.409078 24.336524, 67.391292 24.34153, 67.345416 24.368075, 67.321519 24.385826, 67.259109 24.48047, 67.124469 24.720865, 67.144278 24.739294, 67.441132 24.837094, 67.628523 24.813329, 67.791612 24.744118, 67.793968 24.742746, 67.811981 24.721936, 67.84639 24.573123, 67.81 24.535, 67.705743 24.449819, 67.584928 24.381399, 67.409078 24.336524))"
